Entity,Country Code,Year,GINI Index
Chile,CHL,1990,57
Chile,CHL,1987,56
Chile,CHL,1992,55
Chile,CHL,1993,55
Chile,CHL,1994,56
Chile,CHL,1995,56
Chile,CHL,1996,55
Chile,CHL,1997,55
Chile,CHL,1998,52
Chile,CHL,1999,54
Chile,CHL,2000,53
Chile,CHL,2001,51
Chile,CHL,2002,51
Chile,CHL,2003,50
Chile,CHL,2004,51
Chile,CHL,2005,49
Chile,CHL,2006,47
Chile,CHL,2007,46
Chile,CHL,2008,45
Chile,CHL,2009,47
Chile,CHL,2010,46
Chile,CHL,2011,46
Chile,CHL,2012,45
Chile,CHL,2013,46
Chile,CHL,2014,45
Chile,CHL,2015,44
Chile,CHL,2016,44
Chile,CHL,2017,44
Chile,CHL,2018,44
Chile,CHL,2019,44
Chile,CHL,2020,44
Chile,CHL,2021,44

Colombia,COL,1990,48
Colombia,COL,1991,50
Colombia,COL,1992,51
Colombia,COL,1993,52
Colombia,COL,1994,53
Colombia,COL,1995,54
Colombia,COL,1996,55
Colombia,COL,1997,55
Colombia,COL,1998,56
Colombia,COL,1996,57
Colombia,COL,1999,59
Colombia,COL,2000,59
Colombia,COL,2001,57
Colombia,COL,2002,56
Colombia,COL,2003,53
Colombia,COL,2004,54
Colombia,COL,2005,53
Colombia,COL,2005,54
Colombia,COL,2008,55
Colombia,COL,2009,54
Colombia,COL,2010,55
Colombia,COL,2011,53
Colombia,COL,2012,52
Colombia,COL,2013,52
Colombia,COL,2014,52
Colombia,COL,2015,50
Colombia,COL,2016,50
Colombia,COL,2017,49
Colombia,COL,2018,50
Colombia,COL,2019,51
Colombia,COL,2020,54
Colombia,COL,2021,54

Costa Rica,CRI,1990,45
Costa Rica,CRI,1991,47
Costa Rica,CRI,1992,46
Costa Rica,CRI,1993,46
Costa Rica,CRI,1994,47
Costa Rica,CRI,1995,46
Costa Rica,CRI,1996,47
Costa Rica,CRI,1997,46
Costa Rica,CRI,1998,46
Costa Rica,CRI,1999,48
Costa Rica,CRI,2000,48
Costa Rica,CRI,2001,52
Costa Rica,CRI,2002,52
Costa Rica,CRI,2003,49
Costa Rica,CRI,2004,48
Costa Rica,CRI,2005,47
Costa Rica,CRI,2006,49
Costa Rica,CRI,2007,49
Costa Rica,CRI,2008,48
Costa Rica,CRI,2009,51
Costa Rica,CRI,2010,48
Costa Rica,CRI,2011,49
Costa Rica,CRI,2012,48
Costa Rica,CRI,2013,49
Costa Rica,CRI,2014,48
Costa Rica,CRI,2015,48
Costa Rica,CRI,2016,48
Costa Rica,CRI,2017,48
Costa Rica,CRI,2018,47
Costa Rica,CRI,2019,48
Costa Rica,CRI,2020,49
Costa Rica,CRI,2021,48

Croatia,HRV,1990,25
Croatia,HRV,1991,25
Croatia,HRV,1992,26
Croatia,HRV,1993,27
Croatia,HRV,1994,26
Croatia,HRV,1995,27
Croatia,HRV,1996,29
Croatia,HRV,1997,29
Croatia,HRV,1998,29
Croatia,HRV,1999,28
Croatia,HRV,2000,31
Croatia,HRV,2001,31
Croatia,HRV,2002,31
Croatia,HRV,2003,31
Croatia,HRV,2004,30
Croatia,HRV,2005,30
Croatia,HRV,2006,32
Croatia,HRV,2007,33
Croatia,HRV,2008,34
Croatia,HRV,2009,33
Croatia,HRV,2010,27
Croatia,HRV,2011,32
Croatia,HRV,2012,32
Croatia,HRV,2013,32
Croatia,HRV,2014,32
Croatia,HRV,2015,31
Croatia,HRV,2016,31
Croatia,HRV,2017,30
Croatia,HRV,2018,29
Croatia,HRV,2019,29
Croatia,HRV,2020,29
Croatia,HRV,2021,30

Cyprus,CYP,1990,25
Cyprus,CYP,1991,26
Cyprus,CYP,1992,27
Cyprus,CYP,1993,27
Cyprus,CYP,1994,27
Cyprus,CYP,1995,27
Cyprus,CYP,1996,27
Cyprus,CYP,1997,27
Cyprus,CYP,1998,27
Cyprus,CYP,1999,27
Cyprus,CYP,2000,28
Cyprus,CYP,2001,28
Cyprus,CYP,2002,29
Cyprus,CYP,2003,30
Cyprus,CYP,2004,30
Cyprus,CYP,2005,30
Cyprus,CYP,2006,31
Cyprus,CYP,2007,31
Cyprus,CYP,2008,31
Cyprus,CYP,2009,32
Cyprus,CYP,2010,31
Cyprus,CYP,2011,32
Cyprus,CYP,2012,34
Cyprus,CYP,2013,37
Cyprus,CYP,2014,36
Cyprus,CYP,2015,34
Cyprus,CYP,2016,33
Cyprus,CYP,2017,31
Cyprus,CYP,2018,33
Cyprus,CYP,2019,31
Cyprus,CYP,2020,30
Cyprus,CYP,2021,32

Dominican Republic,DOM,1990,48
Dominican Republic,DOM,1991,50
Dominican Republic,DOM,1992,51
Dominican Republic,DOM,1993,50
Dominican Republic,DOM,1994,48
Dominican Republic,DOM,1995,47
Dominican Republic,DOM,1996,47
Dominican Republic,DOM,1997,48
Dominican Republic,DOM,1998,50
Dominican Republic,DOM,1999,51
Dominican Republic,DOM,2000,51
Dominican Republic,DOM,2001,49
Dominican Republic,DOM,2002,49
Dominican Republic,DOM,2003,52
Dominican Republic,DOM,2004,52
Dominican Republic,DOM,2005,49
Dominican Republic,DOM,2006,51
Dominican Republic,DOM,2007,49
Dominican Republic,DOM,2008,48
Dominican Republic,DOM,2009,49
Dominican Republic,DOM,2010,47
Dominican Republic,DOM,2011,47
Dominican Republic,DOM,2012,46
Dominican Republic,DOM,2013,47
Dominican Republic,DOM,2014,44
Dominican Republic,DOM,2015,45
Dominican Republic,DOM,2016,46
Dominican Republic,DOM,2017,42
Dominican Republic,DOM,2018,44
Dominican Republic,DOM,2019,42
Dominican Republic,DOM,2020,40
Dominican Republic,DOM,2021,41

Ecuador,ECU,1990,49
Ecuador,ECU,1991,50
Ecuador,ECU,1992,49
Ecuador,ECU,1993,52
Ecuador,ECU,1994,53
Ecuador,ECU,1995,53
Ecuador,ECU,1996,54
Ecuador,ECU,1997,54
Ecuador,ECU,1998,56
Ecuador,ECU,1999,58
Ecuador,ECU,2000,56
Ecuador,ECU,2001,54
Ecuador,ECU,2002,53
Ecuador,ECU,2003,53
Ecuador,ECU,2004,54
Ecuador,ECU,2005,53
Ecuador,ECU,2006,52
Ecuador,ECU,2007,54
Ecuador,ECU,2008,50
Ecuador,ECU,2009,49
Ecuador,ECU,2010,49
Ecuador,ECU,2011,46
Ecuador,ECU,2012,46
Ecuador,ECU,2013,47
Ecuador,ECU,2014,45
Ecuador,ECU,2015,46
Ecuador,ECU,2016,45
Ecuador,ECU,2017,45
Ecuador,ECU,2018,45
Ecuador,ECU,2019,46
Ecuador,ECU,2020,47
Ecuador,ECU,2021,46

Egypt,EGY,1990,32
Egypt,EGY,1991,32
Egypt,EGY,1992,32
Egypt,EGY,1993,31
Egypt,EGY,1994,31
Egypt,EGY,1995,31
Egypt,EGY,1996,31
Egypt,EGY,1997,31
Egypt,EGY,1998,32
Egypt,EGY,1999,33
Egypt,EGY,2000,32
Egypt,EGY,2001,32
Egypt,EGY,2002,32
Egypt,EGY,2003,32
Egypt,EGY,2004,32
Egypt,EGY,2005,29
Egypt,EGY,2006,28
Egypt,EGY,2007,30
Egypt,EGY,2008,31
Egypt,EGY,2009,31
Egypt,EGY,2010,30
Egypt,EGY,2011,29
Egypt,EGY,2012,28
Egypt,EGY,2013,29
Egypt,EGY,2014.31
Egypt,EGY,2015,32
Egypt,EGY,2016,31
Egypt,EGY,2017,31
Egypt,EGY,2018,31
Egypt,EGY,2019,31
Egypt,EGY,2020,30
Egypt,EGY,2021,30

El Salvador,SLV,1990,58
El Salvador,SLV,1991,54
El Salvador,SLV,1992,54
El Salvador,SLV,1993,52
El Salvador,SLV,1994,51
El Salvador,SLV,1995,50
El Salvador,SLV,1996,51
El Salvador,SLV,1997,53
El Salvador,SLV,1998,54
El Salvador,SLV,1999,52
El Salvador,SLV,2000,51
El Salvador,SLV,2001,51
El Salvador,SLV,2002,52
El Salvador,SLV,2003,50
El Salvador,SLV,2004,48
El Salvador,SLV,2005,48
El Salvador,SLV,2006,46
El Salvador,SLV,2007,45
El Salvador,SLV,2008,47
El Salvador,SLV,2009,46
El Salvador,SLV,2010,43
El Salvador,SLV,2011,42
El Salvador,SLV,2012,42
El Salvador,SLV,2013,43
El Salvador,SLV,2014,42
El Salvador,SLV,2015,41
El Salvador,SLV,2016,40
El Salvador,SLV,2017,38
El Salvador,SLV,2018,39
El Salvador,SLV,2019,38
El Salvador,SLV,2020,39
El Salvador,SLV,2021,40

Estonia,EST,1990,41
Estonia,EST,1991,31
Estonia,EST,1992,36
Estonia,EST,1993,39
Estonia,EST,1994,35
Estonia,EST,1995,30
Estonia,EST,1996,34
Estonia,EST,1997,36
Estonia,EST,1998,37
Estonia,EST,1999,36
Estonia,EST,2000,35
Estonia,EST,2001,36
Estonia,EST,2002,35
Estonia,EST,2003,34
Estonia,EST,2004,35
Estonia,EST,2005,33
Estonia,EST,2006,33
Estonia,EST,2007,31
Estonia,EST,2008,31
Estonia,EST,2009,31
Estonia,EST,2010,32
Estonia,EST,2011,32
Estonia,EST,2012,32
Estonia,EST,2013,35
Estonia,EST,2014,34
Estonia,EST,2015,32
Estonia,EST,2016,31
Estonia,EST,2017,30
Estonia,EST,2018,30
Estonia,EST,2019,31
Estonia,EST,2020,31
Estonia,EST,2021,31

Finland,FIN,1990,22
Finland,FIN,1991,23
Finland,FIN,1992,23
Finland,FIN,1993,21
Finland,FIN,1994,21
Finland,FIN,1995,23
Finland,FIN,1996,23
Finland,FIN,1997,25
Finland,FIN,1998,26
Finland,FIN,1999,25
Finland,FIN,2000,27
Finland,FIN,2001,27
Finland,FIN,2002,27
Finland,FIN,2003,27
Finland,FIN,2004,27
Finland,FIN,2005,27
Finland,FIN,2006,27
Finland,FIN,2007,28
Finland,FIN,2008,27
Finland,FIN,2009,27
Finland,FIN,2010,27
Finland,FIN,2011,27
Finland,FIN,2012,27
Finland,FIN,2013,27
Finland,FIN,2014,26
Finland,FIN,2015,27
Finland,FIN,2016,27
Finland,FIN,2017,27
Finland,FIN,2018,27
Finland,FIN,2019,27
Finland,FIN,2020,27
Finland,FIN,2021,27

France,FRA,1990,35
France,FRA,1991,35
France,FRA,1992,36
France,FRA,1993,32
France,FRA,1994,32
France,FRA,1995,35
France,FRA,1996,35
France,FRA,1997,34
France,FRA,1998,34
France,FRA,1999,33
France,FRA,2000,31
France,FRA,2001,31
France,FRA,2002,31
France,FRA,2003,31
France,FRA,2004,30
France,FRA,2005,29
France,FRA,2006,29
France,FRA,2007,32
France,FRA,2008,32
France,FRA,2009,32
France,FRA,2010,33
France,FRA,2011,33
France,FRA,2012,33
France,FRA,2013,32
France,FRA,2014,32
France,FRA,2015,32
France,FRA,2016,31
France,FRA,2017,31
France,FRA,2018,32
France,FRA,2019,32
France,FRA,2020,32
France,FRA,2021,32

Georgia,GEO,1990,32
Georgia,GEO,1991,33
Georgia,GEO,1992,34
Georgia,GEO,1993,36
Georgia,GEO,1994,35
Georgia,GEO,1995,36
Georgia,GEO,1996,37
Georgia,GEO,1997,40
Georgia,GEO,1998,41
Georgia,GEO,1999,40
Georgia,GEO,2000,40
Georgia,GEO,2001,39
Georgia,GEO,2002,37
Georgia,GEO,2003,37
Georgia,GEO,2004,36
Georgia,GEO,2005,37
Georgia,GEO,2006,36
Georgia,GEO,2007,38
Georgia,GEO,2008,38
Georgia,GEO,2009,38
Georgia,GEO,2010,39
Georgia,GEO,2011,39
Georgia,GEO,2012,38
Georgia,GEO,2013,38
Georgia,GEO,2014,37
Georgia,GEO,2015,36
Georgia,GEO,2016,36
Georgia,GEO,2017,37
Georgia,GEO,2018,36
Georgia,GEO,2019,36
Georgia,GEO,2020,34
Georgia,GEO,2021,35

Germany,DEU,1990,29
Germany,DEU,1991,29
Germany,DEU,1992,29
Germany,DEU,1993,29
Germany,DEU,1994,29
Germany,DEU,1995,29
Germany,DEU,1996,28
Germany,DEU,1997,28
Germany,DEU,1998,28
Germany,DEU,1999,29
Germany,DEU,2000,29
Germany,DEU,2001,30
Germany,DEU,2002,29
Germany,DEU,2003,30
Germany,DEU,2004,30
Germany,DEU,2005,31
Germany,DEU,2006,31
Germany,DEU,2007,31
Germany,DEU,2008,30
Germany,DEU,2009,30
Germany,DEU,2010,30
Germany,DEU,2011,30
Germany,DEU,2012,30
Germany,DEU,2013,31
Germany,DEU,2014,30
Germany,DEU,2015,31
Germany,DEU,2016,31
Germany,DEU,2017,31
Germany,DEU,2018,31
Germany,DEU,2019,31
Germany,DEU,2020,32
Germany,DEU,2021,32

Greece,GRC,1990,41
Greece,GRC,1991,39
Greece,GRC,1992,38
Greece,GRC,1993,37
Greece,GRC,1994,36
Greece,GRC,1995,37
Greece,GRC,1996,34
Greece,GRC,1997,35
Greece,GRC,1998,35
Greece,GRC,1999,36
Greece,GRC,2000,34
Greece,GRC,2001,34
Greece,GRC,2002,34
Greece,GRC,2003,33
Greece,GRC,2004,34
Greece,GRC,2005,35
Greece,GRC,2006,35
Greece,GRC,2007,34
Greece,GRC,2008,34
Greece,GRC,2009,34
Greece,GRC,2010,34
Greece,GRC,2011,35
Greece,GRC,2012,36
Greece,GRC,2013,36
Greece,GRC,2014,36
Greece,GRC,2015,36
Greece,GRC,2016,35
Greece,GRC,2017,34
Greece,GRC,2018,33
Greece,GRC,2019,33
Greece,GRC,2020,33
Greece,GRC,2021,33

Honduras,HND,1990,57
Honduras,HND,1991,52
Honduras,HND,1992,52
Honduras,HND,1993,53
Honduras,HND,1994,55
Honduras,HND,1995,55
Honduras,HND,1996,56
Honduras,HND,1997,53
Honduras,HND,1998,57
Honduras,HND,1999,55
Honduras,HND,2000,55
Honduras,HND,2001,55
Honduras,HND,2002,56
Honduras,HND,2003,58
Honduras,HND,2004,58
Honduras,HND,2005,60
Honduras,HND,2006,58
Honduras,HND,2007,56
Honduras,HND,2008,55
Honduras,HND,2009,51
Honduras,HND,2010,53
Honduras,HND,2011,53
Honduras,HND,2012,53
Honduras,HND,2013,50
Honduras,HND,2014,50
Honduras,HND,2015,49
Honduras,HND,2016,50
Honduras,HND,2017,49
Honduras,HND,2018,49
Honduras,HND,2019,48
Honduras,HND,2020,48
Honduras,HND,2021,47

Hungary,HUN,1990,25
Hungary,HUN,1991,30
Hungary,HUN,1992,29
Hungary,HUN,1993,28
Hungary,HUN,1994,33
Hungary,HUN,1995,31
Hungary,HUN,1996,30
Hungary,HUN,1997,28
Hungary,HUN,1998,26
Hungary,HUN,1999,28
Hungary,HUN,2000,27
Hungary,HUN,2001,27
Hungary,HUN,2002,27
Hungary,HUN,2003,31
Hungary,HUN,2004,30
Hungary,HUN,2005,30
Hungary,HUN,2006,29
Hungary,HUN,2007,31
Hungary,HUN,2008,28
Hungary,HUN,2009,27
Hungary,HUN,2010,29
Hungary,HUN,2011,29
Hungary,HUN,2012,30
Hungary,HUN,2013,31
Hungary,HUN,2014,31
Hungary,HUN,2015,30
Hungary,HUN,2016,30
Hungary,HUN,2017,31
Hungary,HUN,2018,30
Hungary,HUN,2019,30
Hungary,HUN,2020,31
Hungary,HUN,2021,32

Iceland,ISL,1990,27
Iceland,ISL,1991,27
Iceland,ISL,1992,27
Iceland,ISL,1993,28
Iceland,ISL,1994,28
Iceland,ISL,1995,27
Iceland,ISL,1996,27
Iceland,ISL,1997,26
Iceland,ISL,1998,25
Iceland,ISL,1999,24
Iceland,ISL,2000,23
Iceland,ISL,2001,24
Iceland,ISL,2002,26
Iceland,ISL,2003,27
Iceland,ISL,2004,28
Iceland,ISL,2005,29
Iceland,ISL,2006,30
Iceland,ISL,2007,29
Iceland,ISL,2008,32
Iceland,ISL,2009,29
Iceland,ISL,2010,26
Iceland,ISL,2011,27
Iceland,ISL,2012,27
Iceland,ISL,2013,25
Iceland,ISL,2014,28
Iceland,ISL,2015,27
Iceland,ISL,2016,27
Iceland,ISL,2017,26
Iceland,ISL,2018,25
Iceland,ISL,2019,26
Iceland,ISL,2020,26
Iceland,ISL,2021,25

India,IND,1990,32
India,IND,1991,32
India,IND,1992,33
India,IND,1993,32
India,IND,1994,32
India,IND,1995,32
India,IND,1996,34
India,IND,1997,33
India,IND,1998,32
India,IND,1999,32
India,IND,2000,35
India,IND,2001,35
India,IND,2002,34
India,IND,2003,33
India,IND,2004,34
India,IND,2005,34
India,IND,2006,34
India,IND,2007,34
India,IND,2008,34
India,IND,2009,35
India,IND,2010,35
India,IND,2011,36
India,IND,2012,35
India,IND,2013,35
India,IND,2014,35
India,IND,2015,35
India,IND,2016,35
India,IND,2017,36
India,IND,2018,35
India,IND,2019,36
India,IND,2020,36
India,IND,2021,36

Italy,ITA,1990,0.3257331576650687
Italy,ITA,1991,0.3146832586649527
Italy,ITA,1992,0.3251640823575092
Italy,ITA,1993,0.3553788793076098
Italy,ITA,1994,0.3523806366236202
Italy,ITA,1995,0.299746238754667
Italy,ITA,1996,0.3335268762352562
Italy,ITA,1997,0.3524678532980325
Italy,ITA,1998,0.3666078685636162
Italy,ITA,1998,0.36
Italy,ITA,2000,0.3525280984423746
Italy,ITA,2001,0.3525280984423746
Italy,ITA,2002,0.320547376723589
Italy,ITA,2003,0.3493130855082459
Italy,ITA,2004,0.3429511626302363
Italy,ITA,2005,0.3383360556237444
Italy,ITA,2006,0.3369739603399532
Italy,ITA,2007,0.3289073563667704
Italy,ITA,2008,0.3377010232366898
Italy,ITA,2009,0.3383577039072794
Italy,ITA,2010,0.3472130832471843
Italy,ITA,2011,0.3505721451796474
Italy,ITA,2012,0.3515561059221849
Italy,ITA,2013,0.3491184922890656
Italy,ITA,2014,0.3465732830402379
Italy,ITA,2015,0.3539743647773671
Italy,ITA,2016,0.352462496122166
Italy,ITA,2017,0.3592800094735345
Italy,ITA,2018,0.352225706287351
Italy,ITA,2019,0.3522257062873518
Italy,ITA,2020,0.3603784523352353
Italy,ITA,2021,0.410037563258844

Lithuania,LTU,1990,33
Lithuania,LTU,1991,33
Lithuania,LTU,1992,33
Lithuania,LTU,1993,33
Lithuania,LTU,1994,33
Lithuania,LTU,1995,32
Lithuania,LTU,1996,32
Lithuania,LTU,1997,32
Lithuania,LTU,1998,32
Lithuania,LTU,1999,32
Lithuania,LTU,2000,31
Lithuania,LTU,2001,32
Lithuania,LTU,2002,31
Lithuania,LTU,2003,35
Lithuania,LTU,2004,35
Lithuania,LTU,2005,35
Lithuania,LTU,2006,34
Lithuania,LTU,2007,34
Lithuania,LTU,2008,37
Lithuania,LTU,2009,37
Lithuania,LTU,2010,33
Lithuania,LTU,2011,32
Lithuania,LTU,2012,35
Lithuania,LTU,2013,35
Lithuania,LTU,2014,37
Lithuania,LTU,2015,37
Lithuania,LTU,2016,38
Lithuania,LTU,2017,37
Lithuania,LTU,2018,36
Lithuania,LTU,2019,35
Lithuania,LTU,2020,35
Lithuania,LTU,2021,35

Luxembourg,LUX,1990,27
Luxembourg,LUX,1991,27
Luxembourg,LUX,1992,27
Luxembourg,LUX,1993,27
Luxembourg,LUX,1994,27
Luxembourg,LUX,1995,28
Luxembourg,LUX,1996,29
Luxembourg,LUX,1997,30
Luxembourg,LUX,1998,30
Luxembourg,LUX,1999,30
Luxembourg,LUX,2000,30
Luxembourg,LUX,2001,30
Luxembourg,LUX,2002,30
Luxembourg,LUX,2003,30
Luxembourg,LUX,2004,30
Luxembourg,LUX,2005,30
Luxembourg,LUX,2006,30
Luxembourg,LUX,2007,31
Luxembourg,LUX,2008,32
Luxembourg,LUX,2009,31
Luxembourg,LUX,2010,30
Luxembourg,LUX,2011,32
Luxembourg,LUX,2012,34
Luxembourg,LUX,2013,32
Luxembourg,LUX,2014,31
Luxembourg,LUX,2015,32
Luxembourg,LUX,2016,31
Luxembourg,LUX,2017,34
Luxembourg,LUX,2018,35
Luxembourg,LUX,2019,34
Luxembourg,LUX,2020,34
Luxembourg,LUX,2021,34

Mexico,MEX,1990,48
Mexico,MEX,1991,51
Mexico,MEX,1992,53
Mexico,MEX,1992,53
Mexico,MEX,1994,53
Mexico,MEX,1995,53
Mexico,MEX,1996,54
Mexico,MEX,1997,54
Mexico,MEX,1998,52
Mexico,MEX,1999,54
Mexico,MEX,2000,53
Mexico,MEX,2001,52
Mexico,MEX,2002,50
Mexico,MEX,2000,49
Mexico,MEX,2004,50
Mexico,MEX,2005,50
Mexico,MEX,2006,48
Mexico,MEX,2007,59
Mexico,MEX,2008,49
Mexico,MEX,2009,50
Mexico,MEX,2010,47
Mexico,MEX,2011,48
Mexico,MEX,2012,48
Mexico,MEX,2013,49
Mexico,MEX,2014,48
Mexico,MEX,2015,47
Mexico,MEX,2016,47
Mexico,MEX,2017,45
Mexico,MEX,2018,46
Mexico,MEX,2019,47
Mexico,MEX,2020,45
Mexico,MEX,2021,44

Moldova,MDA,1990,34
